,ID,Customer_id,Interaction,UID,zip,Lat,Lng,City,State,Population,County,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,fav_color,Credit_card,Churn,Gender,SeniorCitizen,Contract,Partner,Depend,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,TotalCharge,item1,item2,item3,item4,item5,item6,item7,item8
11,11,J980369,97126e3a-79d5-438b-983b-883db1454825,0153d55413092a3135803d7b1bd47158,70462,30.3661,-90.58381,Springfield,LA,4907,Livingston,Urban,America/Chicago,"Teacher, adult education",4,44,Bachelor's Degree,Full Time,39744.52,Never Married,Peru,VISA 16 digit,Yes,Male,No,Month-to-month,No,No,DSL,1,Yes,Yes,Yes,No,0,Yes,No,No,Mailed Check,19.26726194,105.4938282,2011.282747,2,1,2,1,6,1,1,2
12,12,E243720,69691ad9-fda4-4574-9c77-ee66449a3344,fe3e0a27cb886b7e782cba160b998486,22643,38.88406,-77.98649,Markham,VA,273,Fauquier,Urban,America/New_York,Insurance account manager,6,48,Regular High School Diploma,Full Time,2508.81,Divorced,Moccasin,Maestro,No,Male,No,Month-to-month,Yes,No,Fiber Optic,1,No,No,No,Yes,0,Yes,No,No,Electronic Check,10.52199781,86.72677085,865.2059726,3,4,4,2,1,3,3,0
13,13,F139569,8d1d7545-f651-4596-bd8c-70a426914202,7806e2b3559fed2e98efc9194dea6605,77950,28.30141,-96.87481,Austwell,TX,160,Refugio,Rural,America/Chicago,Insurance risk surveyor,5,21,"9th Grade to 12th Grade, No Diploma",Full Time,49891.9,Widowed,Aqua,Voyager,No,Female,No,Month-to-month,Yes,No,Fiber Optic,1,No,No,No,No,0,Yes,No,No,Bank Transfer(automatic),13.01149229,85.75228036,1076.725037,4,3,2,2,2,3,2,3
14,14,X44200,7b427d81-ffa5-4198-b303-6ba33557715d,f5a59071b6030b81f0043e847d5c625e,77471,29.54596,-95.86816,Rosenberg,TX,41139,Fort Bend,Suburban,America/Chicago,Housing manager/officer,0,65,Master's Degree,Student,91754.19,Separated,DimGray,Mastercard,No,Male,No,Two Year,Yes,Yes,Fiber Optic,1,Yes,Yes,No,No,1,Yes,No,Yes,Bank Transfer(automatic),16.87922024,126.2571179,1492.590219,2,3,2,3,1,4,3,3
15,15,H68068,3bb763fc-59a6-4d9e-b030-a31a34874592,6631b240564077db413845424a1560ac,13811,42.23179,-76.17457,Newark Valley,NY,4313,Tioga,Rural,America/New_York,Aeronautical engineer,3,62,Bachelor's Degree,Full Time,10725.9,Never Married,Indigo,Diners Club / Carte Blanche,No,Female,No,Month-to-month,No,No,DSL,NA,Yes,No,Yes,No,NA,No,No,Yes,Bank Transfer(automatic),10.06019902,101.0224196,1035.519147,1,1,1,2,3,1,0,2
16,16,A403906,536d9256-124c-49dd-b814-b11a604abb03,82f1032b82bb1477d3868033fa891153,66449,39.38921,-96.86137,Leonardville,KS,996,Riley,Urban,America/Chicago,Futures trader,3,70,Bachelor's Degree,Full Time,39034.27,Married,Bisque,JCB 16 digit,Yes,Female,No,One year,No,No,None,1,No,Yes,No,No,0,Yes,Yes,Yes,Electronic Check,13.87001293,91.49342044,1295.833083,2,3,2,1,3,2,1,2
17,17,V847470,95975eb2-3544-47b0-84d8-d82f44488954,1ef85086af9edc5069a4f93fbb328d46,71601,34.17717,-91.90319,Pine Bluff,AR,14696,Jefferson,Suburban,America/Chicago,Herpetologist,7,64,Nursery School to 8th Grade,Full Time,37350.16,Divorced,Gold,Mastercard,No,Male,No,Month-to-month,Yes,No,DSL,1,Yes,No,Yes,Yes,NA,No,Yes,Yes,Bank Transfer(automatic),15.78214958,104.9555454,1715.307747,4,5,4,3,2,3,3,4
18,18,F721878,b2489f61-b123-420a-9212-d981a343ea84,1847838ab0f45af46ce743b633f4ea05,17981,40.63435,-76.39047,Tremont,PA,2747,Schuylkill,Urban,America/New_York,Dealer,4,75,Nursery School to 8th Grade,Full Time,37745.09,Widowed,CadetBlue,VISA 16 digit,Yes,Female,No,Two Year,No,No,None,1,No,Yes,No,Yes,1,Yes,Yes,No,Mailed Check,2.303331273,96.84320115,221.7599641,4,3,2,2,3,4,3,2
19,19,F487435,5588eead-d0d7-4d77-906b-8bc23069ebd6,45f07eefbf64ec51d288be9fc270b371,62983,37.90497,-89.11722,Royalton,IL,1411,Franklin,Suburban,America/Chicago,"Editor, commissioning",2,44,"Some College, 1 or More Years, No Degree",Full Time,22824.01,Separated,Black,JCB 15 digit,No,Male,Yes,Two Year,Yes,No,None,1,No,No,Yes,Yes,NA,Yes,No,Yes,Bank Transfer(automatic),17.10995632,93.75517522,1575.424266,3,3,4,3,3,3,3,3
20,20,B561228,921778c5-d06b-464f-bfa3-83c3fc26b25c,a76fbf392d8937300e23ec246eda2a4c,68414,40.30462,-95.67043,Nemaha,NE,234,Nemaha,Rural,America/Chicago,Clinical psychologist,0,69,"9th Grade to 12th Grade, No Diploma",Full Time,60152.32,Separated,LimeGreen,JCB 16 digit,No,Female,No,Month-to-month,Yes,No,DSL,1,Yes,No,No,No,0,Yes,No,Yes,Credit Card (automatic),12.80615845,101.5246832,1295.281604,2,2,3,3,3,2,2,2
21,21,X325271,ceef2433-dcc7-4672-9bf0-beb6cf04344c,e5554026eb064908e9a0778cb2eec3ba,58231,48.20017,-97.82627,Fordville,ND,348,Walsh,Rural,America/Chicago,Phytotherapist,0,42,"Some College, 1 or More Years, No Degree",Full Time,13934.64,Widowed,SkyBlue,VISA 16 digit,Yes,Female,No,Month-to-month,No,No,Fiber Optic,1,No,Yes,Yes,Yes,0,No,Yes,Yes,Bank Transfer(automatic),20.45390977,92.44925578,1926.512734,3,4,3,2,5,3,3,2
22,22,I282896,bb44e8e2-801c-4fcf-9778-07bdffaeeec4,9cb1ab7af49e1f0ddd0145846fd59a70,92307,34.58832,-117.13875,Apple Valley,CA,39273,San Bernardino,Suburban,America/Los_Angeles,Theme park manager,4,35,Bachelor's Degree,Full Time,40015.99,Never Married,RosyBrown,Mastercard,Yes,Female,No,Two Year,No,Yes,Fiber Optic,1,No,Yes,No,Yes,0,No,No,No,Bank Transfer(automatic),2.415991977,84.45728003,155.153396,3,5,4,1,2,3,2,4
23,23,I367206,2e0eebb2-dedc-431f-83eb-b167eb85cf46,8fa917bf41020c4928469d22cff031c1,50456,43.28806,-93.21757,Manly,IA,1836,Worth,Rural,America/Chicago,Site engineer,2,39,Professional School Degree,Full Time,31314.42,Married,LightSlateGray,VISA 16 digit,Yes,Female,No,Month-to-month,No,No,Fiber Optic,1,No,No,No,No,1,No,No,Yes,Electronic Check,6.652298992,82.10340228,538.2845855,1,2,3,3,2,1,2,0
24,24,N37182,0678aa2e-e0a6-4fd2-946c-7befddce87fe,d7c8b7b31601811190e2c23e9634802a,72703,36.11505,-94.04893,Fayetteville,AR,32352,Washington,Rural,America/Chicago,Nutritional therapist,0,47,Bachelor's Degree,Full Time,30498.4,Separated,LightSeaGreen,Discover,No,Female,No,One year,Yes,No,Fiber Optic,1,No,No,No,No,1,Yes,No,Yes,Electronic Check,8.543717478,120.6465287,699.1530727,2,1,3,3,1,2,2,2
25,25,U644626,66d59ae4-6cfd-426c-bfbd-be1df49939cc,73369c722e0229117832c61949e1a013,35006,33.42921,-87.19707,Adger,AL,2927,Jefferson,Urban,America/Chicago,Astronomer,6,47,GED or Alternative Credential,Full Time,48596.5,Married,PaleTurquoise,Maestro,Yes,Male,No,Month-to-month,No,Yes,None,1,Yes,Yes,No,Yes,0,No,Yes,No,Credit Card (automatic),5.770390256,92.09407156,596.2929204,2,1,3,3,2,2,3,2
26,26,A766555,86dd4c01-0da3-4de9-b251-0db7a36d882d,5349511937e0dcf34d3a321645250a6c,53586,42.57309,-90.22662,Shullsburg,WI,2231,Lafayette,Urban,America/Chicago,"Scientist, audiological",3,76,Doctorate Degree,Retired,20230.61,Separated,MediumSlateBlue,Discover,Yes,Female,No,Month-to-month,No,Yes,DSL,1,No,No,No,No,0,No,No,No,Bank Transfer(automatic),4.157658837,92.56458381,380.5247348,0,1,2,2,3,0,3,1
27,27,V54032,8d8549e7-666f-4851-b3ca-18aa731c6f62,cde785fcacfccdaafe33bcb705fe4470,19375,39.90044,-75.74032,Unionville,PA,23,Chester,Suburban,America/New_York,Ambulance person,3,37,"Some College, 1 or More Years, No Degree",Full Time,38942.42,Divorced,Cornsilk,Discover,Yes,Male,No,Month-to-month,Yes,No,Fiber Optic,1,No,Yes,No,Yes,NA,Yes,Yes,No,Mailed Check,10.40566091,96.44031082,1086.148331,3,3,3,4,2,3,2,4
28,28,Z301326,881b6500-b595-4546-9645-dcd2fa4fe748,1d6230eb1d8af61d7af18d2c5673c313,42749,37.18954,-85.88021,Horse Cave,KY,5346,Hart,Urban,America/Chicago,Commercial/residential surveyor,0,56,"Some College, 1 or More Years, No Degree",Part Time,44400.82,Separated,MediumTurquoise,VISA 13 digit,No,Male,No,Month-to-month,Yes,No,None,1,No,No,Yes,Yes,0,Yes,No,Yes,Electronic Check,1.392421597,90.73160271,204.2283987,2,3,2,2,3,1,2,3
29,29,J887250,f61a5d55-50b6-49f6-bc2c-103e08d9fe19,5e3c96a0986f427f40c238c02ff97ac3,42102,37.0037,-86.41823,Bowling Green,KY,94,Warren,Rural,America/Chicago,Theatre stage manager,1,46,Associate's Degree,Full Time,11625.62,Married,Aquamarine,VISA 13 digit,Yes,Male,Yes,One year,No,No,DSL,1,No,No,No,Yes,0,Yes,Yes,No,Bank Transfer(automatic),NA,107.2498838,207.3773184,3,4,3,2,2,3,1,2
30,30,Z686376,c2f844ed-f2b0-414e-8b4e-ce74e03ae0ce,65d349c21aab6e5bd2ee101c20808d19,47142,38.07575,-86.21636,Mauckport,IN,1091,Harrison,Rural,America/New_York,Water engineer,0,58,Regular High School Diploma,Part Time,29265.78,Divorced,Maroon,VISA 16 digit,Yes,Female,No,Two Year,No,Yes,DSL,1,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Credit Card (automatic),5.425864884,113.9942811,620.5312767,2,3,3,2,1,3,4,4
31,31,L357432,f3cc5574-abef-4207-9c2c-760b505e3519,2fa9b32c05621c5acae8f67faace3011,17215,40.07783,-77.894,Burnt Cabins,PA,304,Fulton,Rural,America/New_York,Marketing executive,0,29,"Some College, Less than 1 Year",Full Time,10834.38,Married,Blue,American Express,Yes,Female,No,Two Year,Yes,No,Fiber Optic,NA,No,No,Yes,No,0,Yes,Yes,Yes,Credit Card (automatic),11.08287797,92.37299703,968.1141068,2,2,3,2,3,3,2,1
32,32,V899967,08cfe521-30af-4f02-90f0-938caafe715e,895268723bce63ae7077f6781f229012,57317,43.12625,-98.98067,Bonesteel,SD,652,Gregory,Suburban,America/Chicago,Advertising account executive,0,79,Regular High School Diploma,Full Time,19335.34,Never Married,Lime,VISA 16 digit,Yes,Male,No,Two Year,No,Yes,None,1,Yes,No,Yes,No,1,No,No,No,Electronic Check,3.586184954,87.17956847,221.2556757,2,1,2,3,3,1,2,2
33,33,G571225,49fb839f-2a04-4d33-b131-406484918ca3,739d7964089a919827f215dff8d65565,72373,35.29638,-90.59004,Parkin,AR,918,Cross,Rural,America/Chicago,Set designer,2,22,"Some College, 1 or More Years, No Degree",Full Time,34167.87,Separated,Ivory,Discover,No,Male,No,Month-to-month,Yes,Yes,Fiber Optic,1,No,No,Yes,No,0,Yes,Yes,Yes,Electronic Check,4.727388465,91.98901092,416.6035473,2,1,0,2,5,2,2,2
34,34,S381541,7ae9dc50-0587-4e84-be51-c91ac9612854,b341d58af1b17dbe28ad1704999ff5eb,38748,33.14907,-90.90406,Hollandale,MS,3488,Washington,Suburban,America/Chicago,"Horticulturist, commercial",1,34,Nursery School to 8th Grade,Unemployed,29171.55,Widowed,LightSalmon,American Express,Yes,Female,No,Month-to-month,No,No,DSL,1,Yes,Yes,Yes,No,0,Yes,No,No,Electronic Check,20.89923386,105.1726589,2212.403707,3,2,2,3,2,2,3,3
35,35,R195593,61d2d876-35f4-46fe-a609-0bc06978e987,2c0d1a12f266921576cbe2498698f5b6,15009,40.69797,-80.36543,Beaver,PA,15321,Beaver,Urban,America/New_York,"Conservation officer, nature",1,43,Regular High School Diploma,Full Time,15261.86,Married,HoneyDew,JCB 16 digit,Yes,Female,No,One year,Yes,No,Fiber Optic,1,Yes,Yes,No,Yes,1,Yes,Yes,No,Mailed Check,3.471329958,99.48645544,272.8305247,4,4,3,2,2,3,5,4
36,36,I327596,34ad2f69-f066-4850-a50e-adce63c99a68,22ffe6775f9fd72ed556c2bd11296a08,72038,34.44628,-91.24381,Crocketts Bluff,AR,52,Arkansas,Urban,America/Chicago,Phytotherapist,3,20,"9th Grade to 12th Grade, No Diploma",Student,58070.13,Separated,Tan,VISA 13 digit,No,Female,No,Month-to-month,Yes,No,DSL,1,Yes,Yes,Yes,No,1,No,No,Yes,Mailed Check,5.478588204,137.6849068,624.8574007,2,2,0,3,2,1,2,3
37,37,U790894,08cc754f-7a02-4933-9f72-91abe9491072,04811dc9490dff5bdcf08e9ea7963678,95821,38.6259,-121.3845,Sacramento,CA,35430,Sacramento,Suburban,America/Los_Angeles,Agricultural engineer,0,21,Bachelor's Degree,Retired,100096.66,Widowed,RosyBrown,JCB 15 digit,No,Male,No,Month-to-month,Yes,No,Fiber Optic,1,Yes,Yes,Yes,Yes,1,No,Yes,Yes,Credit Card (automatic),3.312991809,96.86220082,428.2420534,5,4,2,4,1,4,3,4
38,38,O739489,23655f4e-7023-4c48-bc0c-b6a5d0aee814,b84ebd175cedfe09ce2d3de9125b174a,62871,37.87593,-88.26827,Omaha,IL,579,Gallatin,Suburban,America/Chicago,Control and instrumentation engineer,3,79,Regular High School Diploma,Unemployed,27580.25,Divorced,AliceBlue,VISA 16 digit,Yes,Male,No,One year,Yes,Yes,DSL,1,Yes,Yes,No,Yes,0,No,No,Yes,Electronic Check,7.161561527,100.2705831,706.9497413,3,4,4,2,2,3,3,3
39,39,I958127,fe41d082-a7f8-44ff-89e2-894929265b10,f551b7b9b57ca9469de75c0eae1c9f47,29532,34.27886,-79.87248,Darlington,SC,20775,Darlington,Urban,America/New_York,"Scientist, clinical (histocompatibility and immunogenetics)",0,62,Bachelor's Degree,Full Time,18360.65,Separated,DarkGray,JCB 16 digit,Yes,Male,No,Two Year,Yes,No,Fiber Optic,1,No,Yes,Yes,No,1,No,Yes,No,Credit Card (automatic),9.847563364,93.23411128,1024.802197,1,1,1,2,3,2,2,0
40,40,Z666770,3501b2ab-7420-4006-80de-baa3a61ae050,6c715d28fec6c831c12d3e6ebc02cb6e,63852,36.37352,-90.01536,Holcomb,MO,1071,Dunklin,Urban,America/Chicago,Furniture designer,3,69,Regular High School Diploma,Student,13197.65,Divorced,OldLace,Mastercard,Yes,Female,No,Two Year,Yes,No,Fiber Optic,1,No,No,Yes,Yes,0,No,No,No,Electronic Check,16.04202196,85.04390982,1329.748409,2,1,2,2,4,3,0,2
41,41,X711438,c37956d9-8b35-44ea-b322-ac770be837c5,b052ccc7c89663d1dba9815d257fb00c,49277,42.38734,-84.46528,Rives Junction,MI,3389,Jackson,Suburban,America/Detroit,"Copywriter, advertising",1,64,Regular High School Diploma,Full Time,41102.78,Widowed,Fuchsia,VISA 13 digit,Yes,Male,No,Month-to-month,No,No,Fiber Optic,NA,No,No,Yes,Yes,0,Yes,No,Yes,Mailed Check,9.179779682,90.91681996,849.8288204,3,2,3,3,4,1,2,2
42,42,U369541,28371f75-39c9-40d2-a90d-18138ca57daa,596aa7e34e6b3cfab1e77ca1487d1470,46582,41.28414,-85.85463,Warsaw,IN,13546,Kosciusko,Suburban,America/Indiana/Indianapolis,"Producer, radio",1,41,Regular High School Diploma,Unemployed,93306,Divorced,MediumAquaMarine,JCB 15 digit,Yes,Female,No,Month-to-month,Yes,No,DSL,1,No,Yes,No,No,NA,No,No,Yes,Electronic Check,3.002844144,96.94355093,260.4127359,2,2,2,2,3,2,2,3
43,43,S896111,a19192f3-c7da-4ae0-a085-14d1470cc7ff,aeca080eb101d364b05f04fa76e98688,66073,39.09017,-95.37632,Perry,KS,2611,Jefferson,Urban,America/Chicago,Scientific laboratory technician,6,32,Bachelor's Degree,Full Time,53347.38,Divorced,AntiqueWhite,JCB 16 digit,No,Female,No,Two Year,Yes,No,Fiber Optic,1,Yes,Yes,No,No,1,Yes,Yes,No,Credit Card (automatic),3.924254455,96.91487202,425.0082317,1,2,1,4,2,1,2,1
44,44,K227200,a666383b-e730-4f58-957d-25c3852ac976,6027117493a6d514dbc13c76b8e7c092,36274,33.17308,-85.36788,Roanoke,AL,11295,Randolph,Suburban,America/Chicago,"Education officer, environmental",2,67,Professional School Degree,Unemployed,74327.73,Widowed,LightYellow,JCB 16 digit,Yes,Female,No,Two Year,Yes,Yes,Fiber Optic,1,Yes,No,No,No,1,No,Yes,Yes,Electronic Check,NA,91.61725129,1640.927191,2,2,2,2,3,3,3,3
45,45,E818912,0441f530-4dac-45c4-b734-cdc42bc897cb,e750d4430dc3a883373686cf9b7a1f92,43446,41.68475,-82.80853,Middle Bass,OH,88,Ottawa,Rural,America/New_York,Publishing copy,10,82,Nursery School to 8th Grade,Full Time,42438.76,Widowed,AntiqueWhite,JCB 16 digit,Yes,Male,No,Two Year,Yes,No,Fiber Optic,NA,Yes,Yes,No,No,0,Yes,Yes,Yes,Credit Card (automatic),8.798394712,94.90802682,888.2185252,1,2,4,1,2,1,2,2
46,46,Y490834,548c8236-8ba2-4baf-9d65-3207c3328bad,a2a3045f01796b98432931f6c66f284f,98118,47.54249,-122.26883,Seattle,WA,48436,King,Urban,America/Los_Angeles,Theatre manager,1,18,"9th Grade to 12th Grade, No Diploma",Full Time,7706.45,Divorced,PowderBlue,VISA 16 digit,No,Male,No,Month-to-month,Yes,Yes,None,1,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Electronic Check,10.377366,101.862812,1047.37547,4,4,3,4,4,3,4,2
47,47,B609739,1f5a0426-d010-4bab-add2-efe3edb7450b,633700dc4f8c77d326ef72fdee6e268d,69157,42.06169,-100.16159,Purdum,NE,54,Blaine,Suburban,America/Chicago,Science writer,9,36,"Some College, 1 or More Years, No Degree",Retired,4646.26,Widowed,DarkGray,Mastercard,Yes,Female,No,Month-to-month,Yes,No,Fiber Optic,1,No,Yes,Yes,No,1,No,Yes,Yes,Bank Transfer(automatic),NA,92.62576964,2100.254363,2,3,3,3,2,3,4,1
48,48,E687638,8cf7411e-fd30-4c43-95be-6d7dd2fc9c7a,d781a1617981ddd7fab2d4eba5feeafd,38310,35.25849,-88.39883,Adamsville,TN,6002,McNairy,Urban,America/Chicago,"Psychologist, educational",0,51,Bachelor's Degree,Part Time,48875.92,Never Married,Snow,JCB 15 digit,Yes,Male,Yes,Month-to-month,No,No,Fiber Optic,1,Yes,Yes,Yes,Yes,1,No,No,Yes,Credit Card (automatic),NA,90.9825953,868.1271108,2,3,1,2,3,1,2,2
49,49,E492264,4c96e993-f357-4745-a45a-1b8a48cdf2cd,e44b08c81fe8c4a32f75cf18e2cdfb49,76110,32.70696,-97.33888,Fort Worth,TX,31825,Tarrant,Rural,America/Chicago,"Therapist, occupational",0,73,Regular High School Diploma,Student,39103.93,Widowed,DimGray,Maestro,No,Male,No,Two Year,Yes,No,None,1,No,No,No,No,0,Yes,No,No,Bank Transfer(automatic),7.760290062,85.51451752,623.8142276,0,1,3,2,3,2,2,2
50,50,W255321,0dc1675d-e17c-4bec-89ec-6626f2de6c07,7b84a7067fa62fcbb8c7871c04cc416a,32511,30.40606,-87.29175,Pensacola,FL,1034,Escambia,Urban,America/Chicago,"Scientist, audiological",4,46,Bachelor's Degree,Unemployed,61221.42,Married,Blue,Voyager,No,Male,No,Month-to-month,No,Yes,None,1,No,No,No,No,1,No,No,Yes,Electronic Check,NA,84.71049908,994.9295339,3,2,3,2,2,1,2,2
51,51,S72442,8328423d-57b9-4e98-aa3e-0b5403e4bbe8,84dbb4ac9e6c9818426a9a4b3544fcb5,28112,34.89302,-80.54085,Monroe,NC,26999,Union,Rural,America/New_York,Midwife,3,63,Associate's Degree,Part Time,23533.93,Never Married,Sienna,Discover,Yes,Male,No,Month-to-month,Yes,No,DSL,1,Yes,No,No,Yes,1,No,Yes,No,Bank Transfer(automatic),3.343811019,104.7399906,333.6516729,3,3,4,3,3,2,3,2
52,52,O845020,b3419511-8b8e-4b18-bfec-7bf05dd2ce08,ee665551896771142ad0f83a42c44c79,68850,40.82956,-99.73644,Lexington,NE,12214,Dawson,Rural,America/Chicago,Sports coach,1,20,Bachelor's Degree,Part Time,43598.19,Separated,GoldenRod,VISA 16 digit,Yes,Male,No,Month-to-month,Yes,No,None,1,No,No,No,Yes,0,Yes,Yes,Yes,Credit Card (automatic),NA,90.54333347,645.5624099,2,1,2,3,3,2,1,2
53,53,D805597,fcfab8ba-7c3f-4192-a02e-4ca7a3b25e00,5244bc9879e36af3ed1447bf11b391f6,62960,37.22607,-88.71073,Metropolis,IL,10959,Massac,Suburban,America/Chicago,Biomedical scientist,4,38,GED or Alternative Credential,Full Time,15848.21,Never Married,LavenderBlush,VISA 16 digit,Yes,Male,No,Month-to-month,No,No,Fiber Optic,1,No,No,No,Yes,0,Yes,No,Yes,Electronic Check,5.486534225,88.7152349,383.4997023,1,1,2,1,4,2,2,0
54,54,R189303,f7dab416-f829-451b-acac-311c02e1ed91,0b415e0ed07cc70cb7a0d35b90257584,95627,38.72619,-122.01422,Esparto,CA,4263,Yolo,Rural,America/Los_Angeles,Corporate treasurer,2,41,"Some College, 1 or More Years, No Degree",Full Time,14857.36,Never Married,Brown,Voyager,No,Male,Yes,One year,No,No,Fiber Optic,1,Yes,No,No,No,0,Yes,No,Yes,Credit Card (automatic),1.55278221,88.73226048,154.8127791,3,2,2,4,3,3,3,2
55,55,N142854,d5510a07-5e79-40fa-a63c-d922c5bb401b,e47ef9026928660f58bfebbdcdc0b70d,3766,43.63467,-72.23724,Lebanon,NH,9392,Grafton,Rural,America/New_York,Claims inspector/assessor,0,41,Master's Degree,Part Time,52268.7,Married,Aquamarine,Diners Club / Carte Blanche,No,Female,No,Month-to-month,Yes,No,Fiber Optic,1,Yes,Yes,No,Yes,0,No,No,Yes,Mailed Check,12.07970325,87.63565934,1041.232503,3,3,3,2,3,3,2,2
